Ticker,Name,Exchange,exchangeDisplay,Type,TypeDisplay
B,Barnes Group Inc.,NYQ,NYSE,S,Equity
BA,The Boeing Company,NYQ,NYSE,S,Equity
BMRA,"Biomerica, Inc.",NCM,NASDAQ,S,Equity
BOACU,Bluescape Opportunities Acquisition Corp.,NYS,NYSE,S,Equity
BVS,Bioventus Inc.,NGM,NASDAQ,S,Equity
RILYT,"B. Riley Financial, Inc. 6.00% Senior Notes Due 2028",NGM,NASDAQ,S,Equity
BIGC,"BigCommerce Holdings, Inc.",NGM,NASDAQ,S,Equity
BCAB,"BioAtla, Inc.",NGM,NASDAQ,S,Equity
BSPE,Bespoke Capital Acquisition Corp.,NGM,NASDAQ,S,Equity
BNL,"Broadstone Net Lease, Inc.",NYS,NYSE,S,Equity
C,Citigroup Inc.,NYQ,NYSE,S,Equity
CVAC,CureVac N.V.,NGM,NASDAQ,S,Equity
CRSR,"Corsair Gaming, Inc.",NGM,NASDAQ,S,Equity
CALT,Calliditas Therapeutics AB (publ),NGM,NASDAQ,S,Equity
CND-UN,Concord Acquisition Corp,NYS,NYSE,S,Equity
CPTKU,Crown PropTech Acquisitions,NYS,NYSE,S,Equity
CCCC,"C4 Therapeutics, Inc.",NGM,NASDAQ,S,Equity
CLIMU,Climate Real Impact Solutions II Acquisition Corp,NYS,NYSE,S,Equity
CGEM,"Cullinan Oncology, Inc.",NGM,NASDAQ,S,Equity
CVIIU,Churchill Capital Corp VII,NYS,NYSE,S,Equity
D,"Dominion Energy, Inc.",NYQ,NYSE,S,Equity
DASH,"DoorDash, Inc.",NYS,NYSE,S,Equity
DMYIU,"dMY Technology Group, Inc. III",NYS,NYSE,S,Equity
DWINU,Delwinds Insurance Acquisition Corp.,NYS,NYSE,S,Equity
NAPA,"Duckhorn Portfolio, Inc.",NYS,NYSE,S,Equity
MSP,Datto Holding Corp.,NYS,NYSE,S,Equity
DHBCU,DHB Capital Corp.,NCM,NASDAQ,S,Equity
DUNEW,Dune Acquisition Corporation,NCM,NASDAQ,S,Equity
DLCAW,Deep Lake Capital Acquisition Corp.,NCM,NASDAQ,S,Equity
DHCAU,DHC Acquisition Corp.,NCM,NASDAQ,S,Equity
E,Eni S.p.A.,NYQ,NYSE,S,Equity
EPWRU,Empowerment & Inclusion Capital I Corp.,NYS,NYSE,S,Equity
ESM-UN,Esm Acquisition Corp,NYS,NYSE,S,Equity
EVOJU,Evo Acquisition Corp.,NCM,NASDAQ,S,Equity
EUSGU,European Sustainable Growth Acquisition Corp.,NCM,NASDAQ,S,Equity
EJFAU,EJF Acquisition Corp.,NCM,NASDAQ,S,Equity
ENVIW,Environmental Impact Acquisition Corp.,NCM,NASDAQ,S,Equity
EAR,"Eargo, Inc.",NMS,NASDAQ,S,Equity
EACU,Edify Acquisition Corp.,NCM,NASDAQ,S,Equity
EUSG,European Sustainable Growth Acquisition Corp.,NAS,NASDAQ,S,Equity
F,Ford Motor Company,NYQ,NYSE,S,Equity
FUSN,Fusion Pharmaceuticals Inc.,NGM,NASDAQ,S,Equity
FDMT,"4D Molecular Therapeutics, Inc.",NGM,NASDAQ,S,Equity
FHTX,Foghorn Therapeutics Inc.,NGM,NASDAQ,S,Equity
FGNAU,FG New America Acquisition Corp.,NYS,NYSE,S,Equity
FRX-UN,Forest Road Acquisition Corp.,NYS,NYSE,S,Equity
FMTX,"Forma Therapeutics Holdings, Inc.",NGM,NASDAQ,S,Equity
FSNBU,Fusion Acquisition Corp. II,NYS,NYSE,S,Equity
FHS,"First High-School Education Group Co., Ltd.",NYS,NYSE,S,Equity
FRXBU,Forest Road Acquisition Corp. II,NYS,NYSE,S,Equity
G,Genpact Limited,NYQ,NYSE,S,Equity
LANDM,Gladstone Land Corporation,NGM,NASDAQ,S,Equity
GBS,GBS Inc.,NGM,NASDAQ,S,Equity
GLTO,"Galecto, Inc.",NGM,NASDAQ,S,Equity
KEJI,Global X Funds - Global X China Disruption ETF,NGM,NASDAQ,E,ETF
GBIO,Generation Bio Co.,NGM,NASDAQ,S,Equity
